,C0,C2,C3,C4,C7,C10,C12,C14,C16,C17,C18,C19,C20,C24,C26
Trondheim/audio,0.010829759999989363,,,0.043589439999990987,0.043589439999990987,0.043589439999990987,0.008215679999992176,0.008215679999992176,0.00858911999999279,0.042344639999992495,0.042344639999992495,0.006970879999993684,,0.00684639999999348,0.009211519999990259
Trondheim/audio/01,,,,,,,0.005685119999998989,0.007136639999998806,0.007499519999999649,,,0.0030239999999999156,,0.002903039999999635,0.007291999999996079
Trondheim/audio/02,,,,,,,0.010991839999991981,0.010991839999991981,0.011437519999990542,,,0.0048959999999951265,,0.004747439999995606,0.009542319999997773
Trondheim/audio/03,,0.06337184000000207,0.007757760000004055,,,,0.009213120000001851,0.009213120000001851,0.009576959999996859,,,0.004240959999997074,0.07671264000000377,0.00436223999999541,0.008000320000000727
Trondheim/audio/04,,,,,,,0.00910520000000048,0.00910520000000048,0.009525440000004437,,,0.003361920000003238,,0.0036096000000043205,0.005975599999992198
Trondheim/audio/05,,,,,,,0.010108799999990481,0.010108799999990481,0.010575359999990042,,,0.003805999999990206,,0.0036537599999917347,0.006531839999993849
Trondheim/audio/06,,,,,,,0.007799999999996032,0.007799999999996032,0.00816000000000372,,,0.0028800000000046566,,0.003000000000007219,0.005039999999993938
Trondheim/audio/07,,,,,,,0.005760320000000263,0.0072310400000006325,0.007598720000004278,,,0.003064000000001954,,0.002941440000000739,0.005270079999995403
Trondheim/audio/08,,,,,,,0.0062077600000094435,0.007792720000011855,0.008188960000012457,,,0.003302000000005023,,0.003169920000004822,0.00567944000000864
Trondheim/audio/09,,,,,,,0.006660800000020117,0.008398400000025674,0.00883280000002884,,,0.003448000000005891,,0.003310080000005655,0.0060816000000158965
Trondheim/audio/10,,,,,,,0.009131200000012996,0.009131200000012996,0.00955264000000966,,,0.0033715200000017376,,0.0035961600000007365,0.005972240000005513
Trondheim/video,0.013015199999998117,,,0.05037679999999867,0.05037679999999867,0.05037679999999867,0.009873599999998817,0.009873599999998817,0.010322399999999732,0.04888079999999917,0.04888079999999917,0.008377599999999319,,0.008227999999999014,0.011070399999997704
Trondheim/video/01,,,,,,,0.00588816000000314,0.007391520000004093,0.007767360000006107,,,0.003132000000002577,,0.0030067200000019056,0.008205279999996762
Trondheim/video/02,,,,,,,0.007485919999995261,0.00908335999999288,0.009482719999990508,,,0.0045651199999969805,,0.004439839999996309,0.0095443199999945
Trondheim/video/03,,,,,,,0.009781599999994839,0.01164207999999256,0.012107199999990215,,,0.006400479999996378,,0.0062751999999957064,0.011176959999994907
Trondheim/video/04,,,,,,,0.006858239999994353,0.008609279999992836,0.009047039999991568,,,0.003647999999996543,,0.0035020799999969654,0.006274559999996043
Trondheim/video/05,,,,,,,0.01023359999998874,0.01023359999998874,0.01070591999998527,,,0.003778559999993547,,0.0038284800000027985,0.0066124799999940365
Trondheim/video/06,,,,,,,0.008127600000001678,0.008127600000001678,0.00850272000000274,,,0.0030009600000013847,,0.0031260000000017385,0.005251680000000647
Trondheim/video/07,,,,,,,0.00595208000000369,0.0074717600000049345,0.007851680000008798,,,0.003166000000003777,,0.003039360000002489,0.005445519999998538
Trondheim/video/08,,,,,,,0.009859199999997514,0.009859199999997514,0.01031423999999248,,,0.0036403199999952562,,0.003659519999999361,0.00637056000000058
Trondheim/video/09,,,,,,,0.008174399999990811,0.008174399999990811,0.008551679999989403,,,0.003018239999995842,,0.0031439999999953727,0.0052819199999945
Trondheim/video/10,,,,,,,0.009646000000010702,0.009646000000010702,0.01009120000001218,,,0.0035616000000047165,,0.003705599999996423,0.006232800000006478
