,C0,C1,C6,C7,C8,C10,C12,C13,C14,C15,C16,C20,C21,C23,C26,C27,C28,C29
Trondheim/audio,0.009699199999992913,0.008824799999995747,0.04562047999999663,0.008686239999995848,,0.005403839999996052,0.006927999999994938,,,0.03644127999999469,0.010391999999992407,,0.014517599999997799,0.005265279999996153,,0.04700607999999562,0.03644127999999469,0.008677279999993459
Trondheim/audio/01,,0.006142880000002293,0.05237703999999965,0.006022480000002162,,0.0035232000000000596,0.005504560000002101,,,0.04319783999999771,0.0063165599999948085,,0.0104421600000002,0.0007224000000007891,,,0.04319783999999771,0.006049839999999307
Trondheim/audio/02,,0.008892319999997511,0.06678327999999922,0.008747119999998887,,0.0012353599999883613,0.008179600000001841,,,0.07441271999999444,0.007992879999996205,,0.01190599999999975,0.0010760799999900428,,,0.07441271999999444,0.007388079999998354
Trondheim/audio/03,,0.010183040000008248,0.09465976000000254,0.010049360000007113,,0.0013887999999866452,0.009504880000005045,0.06936407999999972,0.07070088000000041,0.08975087999999332,0.00462416000000232,0.007673759999999419,0.008490399999999454,0.0012295199999883266,0.007673759999999419,,0.08975087999999332,0.008713360000001558
Trondheim/audio/04,,0.0055584000000052924,0.03288719999999756,0.0054040000000057375,0.008183200000011936,0.0010780000000139012,0.005095200000006628,,,0.03591896000001071,0.006793600000008837,,0.009881600000014146,0.0009240000000119153,,,0.03591896000001071,0.0037056000000035283
Trondheim/audio/05,,0.005224400000017226,0.030285040000009644,0.0050832000000156086,0.007624800000016307,0.0035300000000120235,0.0032630400000073223,,,0.033040800000009085,0.006495200000017576,,0.00931920000002151,0.0008472000000097069,,,0.033040800000009085,0.004942000000013991
Trondheim/audio/06,,0.0043344000000047345,0.02564519999999959,0.004214000000004603,,0.0009716000000139502,,,,0.030952400000003877,0.005297600000005787,,0.007705600000008417,0.0008328000000119573,,,0.030952400000003877,0.0028896000000031563
Trondheim/audio/07,,0.005659199999989539,0.03348359999999673,0.0055019999999927904,0.008331600000005324,0.001067919999975686,0.005187599999999293,,,0.03614032000000833,0.006916799999999057,,0.010060800000005088,0.0009153599999791595,,,0.03614032000000833,0.003772799999993026
Trondheim/audio/08,,0.005253120000006106,0.031080960000004154,0.005107200000004752,0.007879680000002054,0.0011071199999861392,0.004815360000002045,,,0.03526967999999897,0.006420480000002726,,0.009338880000001382,0.0009489599999881193,,,0.03526967999999897,0.003502080000004071
Trondheim/audio/09,,0.004895999999980916,0.028967999999984784,0.004759999999983222,,0.0010830399999832707,,,,0.034502559999992855,0.00598399999998378,,0.008703999999980283,0.0009283199999856606,,,0.034502559999992855,0.003263999999987277
