,C0,C3,C4,C8,C13,C14,C16,C17,C24,C26,C28
Trondheim/audio,0.0006121600000028593,0.012002320000000566,0.014691840000004674,0.013161440000004632,0.05391248000000104,0.011478000000003874,0.016222240000004717,0.05391248000000104,0.009947600000003831,0.050851680000000954,0.011098000000000496
Trondheim/audio/01,0.0005526399999951082,0.012756879999994197,0.015431519999996368,0.013901119999996325,0.06680383999999151,0.012232559999997505,0.01697679999999835,0.06680383999999151,0.010702159999997463,0.06404063999999465,0.011852559999994128
Trondheim/audio/02,0.0006825599999942256,0.014047839999992817,0.01671423999999533,0.015183839999995286,0.07962279999999211,0.013523519999996125,0.01826775999999697,0.07962279999999211,0.011993119999996082,0.07702439999999555,0.013143519999992748
Trondheim/audio/03,0.0008035999999940202,0.015249359999994994,0.017906879999998182,0.01637647999999814,0.09154032000000001,0.014725039999998302,0.019469279999999145,0.09154032000000001,0.013194639999998259,0.08911951999999701,0.016306719999995778
Trondheim/audio/04,0.0005049600000006649,0.007953120000010472,0.012119040000015957,0.010856640000014295,0.034463520000016956,0.009468000000012466,0.01338144000001762,0.034463520000016956,0.008205600000010804,0.030928800000012302,0.008205600000010804
Trondheim/audio/05,0.0005046400000026097,0.00794807999999847,0.012111359999998683,0.010849759999999264,0.034441680000000474,0.009461999999999193,0.013372959999998102,0.034441680000000474,0.008200399999999775,0.030909200000003523,0.008200399999999775
Trondheim/audio/06,0.0005385599999954138,0.008482320000013033,0.01292544000001783,0.011579040000015084,0.03675672000001384,0.010098000000013485,0.014271840000020575,0.03675672000001384,0.00875160000001074,0.032986800000003313,0.00875160000001074
Trondheim/audio/07,0.0006329599999901347,0.00996911999997252,0.01519103999995508,0.013608639999958427,0.04319951999997329,0.01186799999996424,0.016773439999951734,0.04319951999997329,0.010285599999967587,0.0387687999999784,0.010285599999967587
Trondheim/audio/08,0.0006313599999998587,0.009943919999997775,0.015152639999996609,0.013574239999996962,0.043090319999990356,0.01183799999999735,0.016731039999996256,0.043090319999990356,0.010259599999997704,0.038670799999991345,0.010259599999997704
Trondheim/audio/09,0.0006259200000044984,0.009858239999985585,0.015022079999980065,0.01345727999998303,0.04271903999998017,0.01173599999998487,0.0165868799999771,0.04271903999998017,0.010171199999987834,0.03833759999999131,0.010171199999987834
Trondheim/audio/10,0.0006223999999974694,0.009802800000002776,0.014937600000003215,0.013381600000002436,0.042478800000004924,0.01167000000000229,0.016493600000003994,0.042478800000004924,0.01011400000000151,0.03812200000000132,0.01011400000000151
Trondheim/video,0.0005254399999969905,0.008692239999998463,0.01347312000000045,0.012159520000000867,0.048568319999994,0.00985199999999331,0.014786720000000031,0.048568319999994,0.008538399999993729,0.04594111999999484,0.011075040000003256
Trondheim/video/01,0.0005660799999986921,0.011166560000003045,0.015095839999997196,0.013680639999996913,0.062408239999998116,0.012123919999996957,0.01651103999999748,0.062408239999998116,0.009976800000002228,0.05957783999999755,0.011974960000006973
Trondheim/video/02,0.0007712800000021502,0.014024880000004458,0.008446239999999605,0.007031039999999322,0.07848655999999998,0.005478639999999757,0.009865760000000279,0.07848655999999998,0.003446319999996561,0.07533775999999826,0.013565280000008784
Trondheim/video/03,0.0008980800000024658,0.01621528000000083,0.009751039999999378,0.008335839999999095,0.1062671199999965,0.006789039999999247,0.011176159999999769,0.1062671199999965,0.004756719999996051,0.10373111999999729,0.016388720000003687
Trondheim/video/04,0.0005439999999978795,0.008567999999998577,0.01305599999999707,0.011695999999997042,0.03712799999999916,0.010199999999997544,0.014415999999997098,0.03712799999999916,0.008839999999997517,0.03331999999999802,0.008839999999997517
Trondheim/video/05,0.000542400000000498,0.008542800000007844,0.013017600000011953,0.011661600000010708,0.03701880000000557,0.010170000000009338,0.014373600000013198,0.03701880000000557,0.008814000000008093,0.03322200000000208,0.008814000000008093
Trondheim/video/06,0.0004895999999945388,0.007711199999999252,0.01175039999999683,0.010526399999996272,0.03341519999999676,0.00917999999999708,0.012974399999997388,0.03341519999999676,0.007955999999996521,0.029987999999992354,0.007955999999996521
Trondheim/video/07,0.0005273600000066381,0.008305919999997968,0.012656639999999442,0.01133824000000061,0.03599231999999475,0.009888000000000119,0.013975039999998273,0.03599231999999475,0.008569600000001287,0.03230080000000157,0.008569600000001287
Trondheim/video/08,0.0005478399999958583,0.008628479999998717,0.013148159999996523,0.011778559999996219,0.037390079999997994,0.01027199999999695,0.014517759999996827,0.037390079999997994,0.008902399999996646,0.03355519999999501,0.008902399999996646
Trondheim/video/09,0.0005747200000030261,0.00905184000000503,0.013793280000008679,0.012356480000008219,0.03922464000000758,0.010776000000007002,0.015230080000009139,0.03922464000000758,0.009339200000006542,0.035201600000007716,0.009339200000006542
Trondheim/video/10,0.0005763199999933022,0.009077040000001091,0.013831679999999125,0.012390879999998106,0.039333840000001175,0.010805999999998761,0.015272480000000144,0.039333840000001175,0.009365199999997742,0.03529959999999477,0.009365199999997742
